name	img
"Eagles of the North"	ltr-7-eagles-of-the-north.jpg
"Easterling Vanguard"	ltr-83-easterling-vanguard.jpg
"Eastfarthing Farmer"	ltr-8-eastfarthing-farmer.jpg
"East-Mark Cavalier"	ltr-9-east-mark-cavalier.jpg
"Elanor Gardner"	ltr-286-elanor-gardner.jpg
"Elrond, Lord of Rivendell"	ltr-49-elrond-lord-of-rivendell.jpg
"Elrond, Master of Healing"	ltr-200-elrond-master-of-healing.jpg
"Elven Chorus"	ltr-160-elven-chorus.jpg
"Elven Farsight"	ltr-161-elven-farsight.jpg
"Elvish Mariner"	ltr-283-elvish-mariner.jpg
"Enraged Huorn"	ltr-162-enraged-huorn.jpg
"Ent-Draught Basin"	ltr-238-ent-draught-basin.jpg
"Entish Restoration"	ltr-163-entish-restoration.jpg
"Ent's Fury"	ltr-164-ent-s-fury.jpg
"Éomer, Marshal of Rohan"	ltr-120-eomer-marshal-of-rohan.jpg
"Éomer of the Riddermark"	ltr-121-eomer-of-the-riddermark.jpg
"Éowyn, Fearless Knight"	ltr-201-eowyn-fearless-knight.jpg
"Éowyn, Lady of Rohan"	ltr-10-eowyn-lady-of-rohan.jpg
"Erebor Flamesmith"	ltr-122-erebor-flamesmith.jpg
"Erkenbrand, Lord of Westfold"	ltr-123-erkenbrand-lord-of-westfold.jpg
"Errand-Rider of Gondor"	ltr-11-errand-rider-of-gondor.jpg
"Escape from Orthanc"	ltr-12-escape-from-orthanc.jpg
"Esquire of the King"	ltr-13-esquire-of-the-king.jpg
"Fall of Cair Andros"	ltr-124-fall-of-cair-andros.jpg
"Fall of Gil-galad"	ltr-165-fall-of-gil-galad.jpg
"Fangorn, Tree Shepherd"	ltr-166-fangorn-tree-shepherd.jpg
"Faramir, Field Commander"	ltr-14-faramir-field-commander.jpg
"Faramir, Prince of Ithilien"	ltr-202-faramir-prince-of-ithilien.jpg
"Fear, Fire, Foes!"	ltr-125-fear-fire-foes.jpg
"Fiery Inscription"	ltr-126-fiery-inscription.jpg
"Fire of Orthanc"	ltr-127-fire-of-orthanc.jpg
"Fires of Mount Doom"	ltr-294-fires-of-mount-doom.jpg
"Flame of Anor"	ltr-203-flame-of-anor.jpg
"Flowering of the White Tree"	ltr-15-flowering-of-the-white-tree.jpg
"Fog on the Barrow-Downs"	ltr-16-fog-on-the-barrow-downs.jpg
"Foray of Orcs"	ltr-128-foray-of-orcs.jpg
Forest	ltr-270-forest.jpg
"Forge Anew"	ltr-17-forge-anew.jpg
"Friendly Rivalry"	ltr-204-friendly-rivalry.jpg
"Frodo Baggins"	ltr-205-frodo-baggins.jpg
"Frodo, Determined Hero"	ltr-289-frodo-determined-hero.jpg
"Frodo, Sauron's Bane"	ltr-18-frodo-sauron-s-bane.jpg
"Galadhrim Bow"	ltr-167-galadhrim-bow.jpg
"Galadhrim Guide"	ltr-168-galadhrim-guide.jpg
"Galadriel, Gift-Giver"	ltr-296-galadriel-gift-giver.jpg
"Galadriel of Lothlórien"	ltr-206-galadriel-of-lothlorien.jpg
"Gandalf, Friend of the Shire"	ltr-50-gandalf-friend-of-the-shire.jpg
"Gandalf's Sanction"	ltr-208-gandalf-s-sanction.jpg
"Gandalf the Grey"	ltr-207-gandalf-the-grey.jpg
"Gandalf the White"	ltr-19-gandalf-the-white.jpg
"Gandalf, White Rider"	ltr-290-gandalf-white-rider.jpg
"Generous Ent"	ltr-169-generous-ent.jpg
"Gift of Strands"	ltr-170-gift-of-strands.jpg
"Gimli, Counter of Kills"	ltr-129-gimli-counter-of-kills.jpg
"Gimli, Mournful Avenger"	ltr-209-gimli-mournful-avenger.jpg
"Gimli's Axe"	ltr-130-gimli-s-axe.jpg
"Gimli's Fury"	ltr-131-gimli-s-fury.jpg
Glamdring	ltr-239-glamdring.jpg
"Glóin, Dwarf Emissary"	ltr-132-gloin-dwarf-emissary.jpg
"Glorfindel, Dauntless Rescuer"	ltr-171-glorfindel-dauntless-rescuer.jpg
"Glorious Gale"	ltr-51-glorious-gale.jpg
"Goblin Assailant"	ltr-295-goblin-assailant.jpg
"Goblin Fireleaper"	ltr-133-goblin-fireleaper.jpg
"Goldberry, River-Daughter"	ltr-52-goldberry-river-daughter.jpg
"Gollum, Patient Plotter"	ltr-84-gollum-patient-plotter.jpg
"Gollum's Bite"	ltr-85-gollum-s-bite.jpg
"Gollum, Scheming Guide"	ltr-292-gollum-scheming-guide.jpg
"Gorbag of Minas Morgul"	ltr-86-gorbag-of-minas-morgul.jpg
"Gothmog, Morgul Lieutenant"	ltr-87-gothmog-morgul-lieutenant.jpg
"Great Hall of the Citadel"	ltr-254-great-hall-of-the-citadel.jpg
"Grey Havens Navigator"	ltr-53-grey-havens-navigator.jpg
"Gríma Wormtongue"	ltr-88-grima-wormtongue.jpg
"Grishnákh, Brash Instigator"	ltr-134-grishnakh-brash-instigator.jpg
"Grond, the Gatebreaker"	ltr-89-grond-the-gatebreaker.jpg
"Gwaihir the Windlord"	ltr-210-gwaihir-the-windlord.jpg
"Haradrim Spearmaster"	ltr-135-haradrim-spearmaster.jpg
"Haunt of the Dead Marshes"	ltr-90-haunt-of-the-dead-marshes.jpg
"Hew the Entwood"	ltr-136-hew-the-entwood.jpg
"Hithlain Knots"	ltr-54-hithlain-knots.jpg
"Hobbit's Sting"	ltr-20-hobbit-s-sting.jpg
"Horn of Gondor"	ltr-240-horn-of-gondor.jpg
"Horn of the Mark"	ltr-241-horn-of-the-mark.jpg
"Horses of the Bruinen"	ltr-55-horses-of-the-bruinen.jpg
"Improvised Club"	ltr-137-improvised-club.jpg
"Inherited Envelope"	ltr-242-inherited-envelope.jpg
"Ioreth of the Healing House"	ltr-56-ioreth-of-the-healing-house.jpg
"Isildur's Fateful Strike"	ltr-91-isildur-s-fateful-strike.jpg
Island	ltr-264-island.jpg
"Isolation at Orthanc"	ltr-57-isolation-at-orthanc.jpg
"Ithilien Kingfisher"	ltr-58-ithilien-kingfisher.jpg
"King of the Oathbreakers"	ltr-211-king-of-the-oathbreakers.jpg
"Knight of the Keep"	ltr-291-knight-of-the-keep.jpg
"Knights of Dol Amroth"	ltr-59-knights-of-dol-amroth.jpg
"Landroval, Horizon Witness"	ltr-21-landroval-horizon-witness.jpg
"Lash of the Balrog"	ltr-92-lash-of-the-balrog.jpg
"Last March of the Ents"	ltr-172-last-march-of-the-ents.jpg
"Legolas, Counter of Kills"	ltr-212-legolas-counter-of-kills.jpg
"Legolas, Master Archer"	ltr-173-legolas-master-archer.jpg
Lembas	ltr-243-lembas.jpg
"Lobelia Sackville-Baggins"	ltr-93-lobelia-sackville-baggins.jpg
"Long List of the Ents"	ltr-174-long-list-of-the-ents.jpg
"Lórien Revealed"	ltr-60-lorien-revealed.jpg
"Lost Isle Calling"	ltr-61-lost-isle-calling.jpg
"Lost to Legend"	ltr-22-lost-to-legend.jpg
"Lothlórien Lookout"	ltr-175-lothlorien-lookout.jpg
"Lotho, Corrupt Shirriff"	ltr-213-lotho-corrupt-shirriff.jpg
"Many Partings"	ltr-176-many-partings.jpg
"March from the Black Gate"	ltr-94-march-from-the-black-gate.jpg
"Mauhúr, Uruk-hai Captain"	ltr-214-mauhur-uruk-hai-captain.jpg
"Meneldor, Swift Savior"	ltr-62-meneldor-swift-savior.jpg
"Meriadoc Brandybuck"	ltr-177-meriadoc-brandybuck.jpg
"Merry, Esquire of Rohan"	ltr-215-merry-esquire-of-rohan.jpg
"Minas Tirith"	ltr-256-minas-tirith.jpg
"Mines of Moria"	ltr-257-mines-of-moria.jpg
"Mirkwood Bats"	ltr-95-mirkwood-bats.jpg
"Mirkwood Spider"	ltr-178-mirkwood-spider.jpg
"Mirrormere Guardian"	ltr-179-mirrormere-guardian.jpg
"Mirror of Galadriel"	ltr-244-mirror-of-galadriel.jpg
"Mithril Coat"	ltr-245-mithril-coat.jpg
"Mordor Muster"	ltr-96-mordor-muster.jpg
"Mordor Trebuchet"	ltr-97-mordor-trebuchet.jpg
"Morgul-Knife Wound"	ltr-98-morgul-knife-wound.jpg
"Moria Marauder"	ltr-138-moria-marauder.jpg
Mountain	ltr-268-mountain.jpg
"Mount Doom"	ltr-258-mount-doom.jpg
"Mushroom Watchdogs"	ltr-180-mushroom-watchdogs.jpg
"Nasty End"	ltr-99-nasty-end.jpg
Nazgûl	ltr-100-nazgul.jpg
"Nimble Hobbit"	ltr-23-nimble-hobbit.jpg
"Nimrodel Watcher"	ltr-63-nimrodel-watcher.jpg
"Now for Wrath, Now for Ruin!"	ltr-24-now-for-wrath-now-for-ruin.jpg
"Oath of the Grey Host"	ltr-101-oath-of-the-grey-host.jpg
"Old Man Willow"	ltr-217-old-man-willow.jpg
Oliphaunt	ltr-139-oliphaunt.jpg
"Olog-hai Crusher"	ltr-140-olog-hai-crusher.jpg
"One Ring to Rule Them All"	ltr-102-one-ring-to-rule-them-all.jpg
"Orcish Bowmasters"	ltr-103-orcish-bowmasters.jpg
"Orcish Medicine"	ltr-104-orcish-medicine.jpg
"Palantír of Orthanc"	ltr-247-palantir-of-orthanc.jpg
"Pelargir Survivor"	ltr-64-pelargir-survivor.jpg
"Peregrin Took"	ltr-181-peregrin-took.jpg
"Phial of Galadriel"	ltr-248-phial-of-galadriel.jpg
"Pippin, Guard of the Citadel"	ltr-218-pippin-guard-of-the-citadel.jpg
"Pippin's Bravery"	ltr-182-pippin-s-bravery.jpg
Plains	ltr-262-plains.jpg
"Press the Enemy"	ltr-65-press-the-enemy.jpg
"Prince Imrahil the Fair"	ltr-219-prince-imrahil-the-fair.jpg
"Protector of Gondor"	ltr-25-protector-of-gondor.jpg
"Quarrel's End"	ltr-141-quarrel-s-end.jpg
"Quickbeam, Upstart Ent"	ltr-183-quickbeam-upstart-ent.jpg
"Radagast the Brown"	ltr-184-radagast-the-brown.jpg
"Rally at the Hornburg"	ltr-142-rally-at-the-hornburg.jpg
"Ranger's Firebrand"	ltr-143-ranger-s-firebrand.jpg
"Rangers of Ithilien"	ltr-66-rangers-of-ithilien.jpg
"Relentless Rohirrim"	ltr-144-relentless-rohirrim.jpg
Reprieve	ltr-26-reprieve.jpg
"Revive the Shire"	ltr-185-revive-the-shire.jpg
Ringsight	ltr-220-ringsight.jpg
Ringwraiths	ltr-284-ringwraiths.jpg
"Rise of the Witch-king"	ltr-221-rise-of-the-witch-king.jpg
"Rising of the Day"	ltr-145-rising-of-the-day.jpg
Rivendell	ltr-259-rivendell.jpg
"Rohirrim Lancer"	ltr-146-rohirrim-lancer.jpg
"Rosie Cotton of South Lane"	ltr-27-rosie-cotton-of-south-lane.jpg
"Rush the Room"	ltr-147-rush-the-room.jpg
"Sam's Desperate Rescue"	ltr-105-sam-s-desperate-rescue.jpg
"Samwise Gamgee"	ltr-222-samwise-gamgee.jpg
"Samwise the Stouthearted"	ltr-28-samwise-the-stouthearted.jpg
"Saradoc, Master of Buckland"	ltr-282-saradoc-master-of-buckland.jpg
"Saruman of Many Colors"	ltr-223-saruman-of-many-colors.jpg
"Saruman's Trickery"	ltr-68-saruman-s-trickery.jpg
"Saruman the White"	ltr-67-saruman-the-white.jpg
"Sauron's Ransom"	ltr-225-sauron-s-ransom.jpg
"Sauron, the Dark Lord"	ltr-224-sauron-the-dark-lord.jpg
"Sauron, the Lidless Eye"	ltr-288-sauron-the-lidless-eye.jpg
"Sauron, the Necromancer"	ltr-106-sauron-the-necromancer.jpg
"Scroll of Isildur"	ltr-69-scroll-of-isildur.jpg
"Second Breakfast"	ltr-29-second-breakfast.jpg
"Shadowfax, Lord of Horses"	ltr-227-shadowfax-lord-of-horses.jpg
"Shadow of the Enemy"	ltr-107-shadow-of-the-enemy.jpg
"Shadow Summoning"	ltr-226-shadow-summoning.jpg
"Shagrat, Loot Bearer"	ltr-228-shagrat-loot-bearer.jpg
"Sharkey, Tyrant of the Shire"	ltr-229-sharkey-tyrant-of-the-shire.jpg
"Shelob, Child of Ungoliant"	ltr-230-shelob-child-of-ungoliant.jpg
"Shelob's Ambush"	ltr-108-shelob-s-ambush.jpg
"Shire Scarecrow"	ltr-249-shire-scarecrow.jpg
"Shire Shirriff"	ltr-30-shire-shirriff.jpg
"Shire Terrace"	ltr-261-shire-terrace.jpg
"Shortcut to Mushrooms"	ltr-187-shortcut-to-mushrooms.jpg
"Shower of Arrows"	ltr-188-shower-of-arrows.jpg
"Slip On the Ring"	ltr-31-slip-on-the-ring.jpg
"Sméagol, Helpful Guide"	ltr-231-smeagol-helpful-guide.jpg
"Smite the Deathless"	ltr-148-smite-the-deathless.jpg
"Snarling Warg"	ltr-109-snarling-warg.jpg
"Soldier of the Grey Host"	ltr-32-soldier-of-the-grey-host.jpg
"Soothing of Sméagol"	ltr-70-soothing-of-smeagol.jpg
"Spiteful Banditry"	ltr-149-spiteful-banditry.jpg
"Stalwarts of Osgiliath"	ltr-33-stalwarts-of-osgiliath.jpg
"Stern Scolding"	ltr-71-stern-scolding.jpg
"Stew the Coneys"	ltr-189-stew-the-coneys.jpg
"Sting, the Glinting Dagger"	ltr-250-sting-the-glinting-dagger.jpg
"Stone of Erech"	ltr-251-stone-of-erech.jpg
"Storm of Saruman"	ltr-72-storm-of-saruman.jpg
"Strider, Ranger of the North"	ltr-232-strider-ranger-of-the-north.jpg
"Surrounded by Orcs"	ltr-73-surrounded-by-orcs.jpg
Swamp	ltr-266-swamp.jpg
"Swarming of Moria"	ltr-150-swarming-of-moria.jpg
"Tale of Tinúviel"	ltr-34-tale-of-tinuviel.jpg
"The Balrog, Durin's Bane"	ltr-195-the-balrog-durin-s-bane.jpg
"The Balrog, Flame of Udûn"	ltr-297-the-balrog-flame-of-udun.jpg
"The Bath Song"	ltr-40-the-bath-song.jpg
"The Battle of Bywater"	ltr-2-the-battle-of-bywater.jpg
"The Black Breath"	ltr-78-the-black-breath.jpg
"The Grey Havens"	ltr-255-the-grey-havens.jpg
"The Mouth of Sauron"	ltr-216-the-mouth-of-sauron.jpg
"Théoden, King of Rohan"	ltr-233-theoden-king-of-rohan.jpg
"The One Ring"	ltr-246-the-one-ring.jpg
"There and Back Again"	ltr-151-there-and-back-again.jpg
"The Ring Goes South"	ltr-186-the-ring-goes-south.jpg
"The Shire"	ltr-260-the-shire.jpg
"The Torment of Gollum"	ltr-110-the-torment-of-gollum.jpg
"The Watcher in the Water"	ltr-75-the-watcher-in-the-water.jpg
"Tom Bombadil"	ltr-234-tom-bombadil.jpg
"Took Reaper"	ltr-35-took-reaper.jpg
"Trailblazer's Boots"	ltr-398-trailblazer-s-boots.jpg
"Treason of Isengard"	ltr-74-treason-of-isengard.jpg
"Troll of Khazad-dûm"	ltr-111-troll-of-khazad-dum.jpg
"Uglúk of the White Hand"	ltr-235-ugluk-of-the-white-hand.jpg
"Uruk-hai Berserker"	ltr-112-uruk-hai-berserker.jpg
"Voracious Fell Beast"	ltr-113-voracious-fell-beast.jpg
"Warbeast of Gorgoroth"	ltr-152-warbeast-of-gorgoroth.jpg
"War of the Last Alliance"	ltr-36-war-of-the-last-alliance.jpg
"Westfold Rider"	ltr-37-westfold-rider.jpg
Willow-Wind	ltr-76-willow-wind.jpg
"Witch-king, Bringer of Ruin"	ltr-293-witch-king-bringer-of-ruin.jpg
"Witch-king of Angmar"	ltr-114-witch-king-of-angmar.jpg
"Wizard's Rockets"	ltr-252-wizard-s-rockets.jpg
"Wose Pathfinder"	ltr-190-wose-pathfinder.jpg
"You Cannot Pass!"	ltr-38-you-cannot-pass.jpg
